"","Year","Month","Day","TSU","EQ","Name","Location","Country","Latitude","Longitude","Elevation","Type","Status","Time","VEI","Agent","DEATHS","DEATHS_DESCRIPTION","MISSING","MISSING_DESCRIPTION","INJURIES","INJURIES_DESCRIPTION","DAMAGE_MILLIONS_DOLLARS","DAMAGE_DESCRIPTION","HOUSES_DESTROYED","HOUSES_DESTROYED_DESCRIPTION","TOTAL_DEATHS","TOTAL_DEATHS_DESCRIPTION","TOTAL_MISSING","TOTAL_MISSING_DESCRIPTION","TOTAL_INJURIES","TOTAL_INJURIES_DESCRIPTION","TOTAL_DAMAGE_MILLIONS_DOLLARS","TOTAL_DAMAGE_DESCRIPTION","TOTAL_HOUSES_DESTROYED","TOTAL_HOUSES_DESTROYED_DESCRIPTION"
"476",1944,8,20,"TSU","","Stromboli","Italy","Italy",38.789,15.213,926,"Stratovolcano","Historical","D1",2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"477",1944,8,26,"","","Usu","Hokkaido-Japan","Japan",42.53,140.83,731,"Stratovolcano","Historical","D1",2,"G",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"478",1944,12,4,"","","Dieng Volc Complex","Java","Indonesia",-7.2,109.92,2565,"Complex volcano","Historical","D1",2,"T",117,3,NA,NA,250,3,NA,NA,NA,NA,117,3,NA,NA,250,3,NA,NA,NA,NA
"479",1946,1,NA,"","","Sakura-jima","Kyushu-Japan","Japan",31.58,130.67,1117,"Stratovolcano","Historical","D1",2,"",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"480",1946,2,NA,"","","Semeru","Java","Indonesia",-8.108,112.92,3676,"Stratovolcano","Historical","D1",2,"F",6,1,NA,NA,NA,NA,NA,2,81,2,6,1,NA,NA,NA,NA,NA,2,81,2
"481",1946,10,29,"","","Semeru","Java","Indonesia",-8.108,112.92,3676,"Stratovolcano","Historical","D1",2,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"482",1946,11,13,"TSU","","Sarychev Peak","Kuril Is","Russia",48.092,153.2,1496,"Stratovolcano","Historical","D1",4,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"483",1947,1,7,"","","Mayon","Luzon-Philippines","Philippines",13.257,123.685,2462,"Stratovolcano","Historical","D1",2,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"484",1947,7,6,"","","Asama","Honshu-Japan","Japan",36.4,138.53,2560,"Complex volcano","Historical","D1",2,"",11,1,NA,NA,NA,NA,NA,NA,NA,NA,11,1,NA,NA,NA,NA,NA,NA,NA,NA
"485",1947,9,16,"","","Akagi","Honshu-Japan","Japan",36.53,139.18,1828,"Stratovolcano","Historical","D6",NA,"m",699,3,NA,NA,NA,NA,NA,NA,NA,NA,699,3,NA,NA,NA,NA,NA,NA,NA,NA
"486",1947,11,2,"","","Hekla","Iceland-S","Iceland",63.98,-19.7,1491,"Stratovolcano","Historical","D1",4,"L",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"487",1948,4,7,"","","Iliwerung","Lesser Sunda Is","Indonesia",-8.54,123.59,1018,"Complex volcano","Historical","D1",2,"",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
"488",1949,1,1,"","","Villarrica","Chile-C","Chile",-39.42,-71.93,2847,"Stratovolcano","Historical","D1",3,"M",54,2,NA,NA,NA,NA,NA,2,NA,NA,54,2,NA,NA,NA,NA,NA,2,NA,NA
"489",1949,5,26,"","","Purace","Colombia","Colombia",2.32,-76.4,4650,"Stratovolcano","Historical","D1",2,"T",17,1,NA,NA,NA,NA,NA,NA,NA,NA,17,1,NA,NA,NA,NA,NA,NA,NA,NA
"490",1949,6,NA,"","","Camiguin","Mindanao-Philippines","Philippines",9.203,124.673,1332,"Stratovolcano","Historical","D2",3,"P",2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"491",1950,8,28,"","","Semeru","Java","Indonesia",-8.108,112.92,3676,"Stratovolcano","Historical","D1",1,"P",6,1,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA
"492",1950,9,15,"","","Camiguin","Mindanao-Philippines","Philippines",9.203,124.673,1332,"Stratovolcano","Historical","D2",3,"P",68,2,NA,NA,NA,NA,NA,NA,NA,NA,68,2,NA,NA,NA,NA,NA,NA,NA,NA
"493",1950,9,23,"","","Asama","Honshu-Japan","Japan",36.4,138.53,2560,"Complex volcano","Historical","D1",2,"T",1,1,NA,NA,1,1,NA,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,1
"494",1951,1,21,"","","Lamington","New Guinea","Papua New Guinea",-8.95,148.15,1680,"Stratovolcano","Historical","D2",4,"P",2942,4,NA,NA,NA,2,NA,NA,NA,NA,2942,4,NA,NA,NA,2,NA,NA,NA,NA
"495",1951,8,3,"TSU","EQ","Cosiguina","Nicaragua","Nicaragua",12.98,-87.57,872,"Stratovolcano","Historical","D3",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2
"496",1951,8,31,"","","Kelut","Java","Indonesia",-7.93,112.308,1731,"Stratovolcano","Historical","D1",3,"",7,1,NA,NA,NA,NA,NA,NA,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA
"497",1951,11,5,"","","Hakone","Honshu-Japan","Japan",35.22,139.02,1438,"Complex volcano","Radiocarbon","D7",NA,"G",2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"498",1951,12,4,"","","Camiguin","Mindanao-Philippines","Philippines",9.203,124.673,1332,"Stratovolcano","Historical","D2",3,"P",500,3,1500,4,NA,NA,NA,NA,NA,NA,500,3,1500,4,NA,NA,NA,NA,NA,NA
"499",1951,NA,NA,"TSU","","Kavachi","Solomon Is-SW Pacifi","Solomon Is.",-9.02,157.95,-20,"Submarine volcano","Historical","D1",2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"500",1952,3,27,"","","Hakone","Honshu-Japan","Japan",35.22,139.02,1438,"Complex volcano","Radiocarbon","D7",NA,"G",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"501",1952,9,16,"TSU","","Myojun Knoll","Izu Is-Japan","Japan",32.1,139.85,360,"Submarine volcano","Holocene","Unknown",2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"502",1952,9,23,"TSU","","Myojun Knoll","Izu Is-Japan","Japan",32.1,139.85,360,"Submarine volcano","Holocene","Unknown",2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"503",1952,9,24,"TSU","","Myojun Knoll","Izu Is-Japan","Japan",32.1,139.85,360,"Submarine volcano","Holocene","Unknown",2,"P",31,1,NA,NA,NA,NA,NA,1,NA,NA,31,1,NA,NA,NA,NA,NA,1,NA,NA
"504",1952,9,26,"TSU","","Myojun Knoll","Izu Is-Japan","Japan",32.1,139.85,360,"Submarine volcano","Holocene","Unknown",2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"505",1952,NA,NA,"","","Ambalatungan Group","Luzon-Philippines","Philippines",17.32,121.1,2329,"Compound volcano","Fumarolic","U",1,"",12,1,NA,NA,NA,NA,NA,NA,NA,NA,12,1,NA,NA,NA,NA,NA,NA,NA,NA
"506",1953,3,11,"TSU","","Myojun Knoll","Izu Is-Japan","Japan",32.1,139.85,360,"Submarine volcano","Holocene","Unknown",2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"507",1953,3,23,"","","Merapi","Java","Indonesia",-7.542,110.442,2947,"Stratovolcano","Historical","D1",3,"P",64,2,NA,NA,57,2,NA,2,144,3,64,2,NA,NA,57,2,NA,2,144,3
"508",1953,3,25,"TSU","","Myojun Knoll","Izu Is-Japan","Japan",32.1,139.85,360,"Submarine volcano","Holocene","Unknown",2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"509",1953,4,27,"","","Aso","Kyushu-Japan","Japan",32.88,131.1,1592,"Caldera","Historical","D1",2,"T",6,1,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA
"510",1953,6,27,"TSU","","St. Andrew Strait","Admiralty Is-SW Paci","Papua New Guinea",-2.38,147.35,270,"Complex volcano","Historical","D2",0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"511",1953,6,NA,"","","Sirung","Lesser Sunda Is","Indonesia",-8.51,124.148,862,"Complex volcano","Historical","D1",0,"",5,1,NA,NA,1,1,NA,NA,NA,NA,5,1,NA,NA,1,1,NA,NA,NA,NA
"512",1953,7,26,"","","Hakone","Honshu-Japan","Japan",35.22,139.02,1438,"Complex volcano","Radiocarbon","D7",NA,"A",10,1,NA,NA,NA,NA,NA,NA,NA,NA,10,1,NA,NA,NA,NA,NA,NA,NA,NA
"513",1953,10,5,"","","Oshima","Izu Is-Japan","Japan",34.73,139.38,758,"Stratovolcano","Historical","D1",1,"",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"514",1953,12,24,"","","Ruapehu","New Zealand","New Zealand",-39.28,175.57,2797,"Stratovolcano","Historical","D1",NA,"m",151,3,NA,NA,NA,NA,NA,NA,NA,NA,151,3,NA,NA,NA,NA,NA,NA,NA,NA
"515",1954,2,NA,"TSU","","Stromboli","Italy","Italy",38.789,15.213,926,"Stratovolcano","Historical","D1",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"516",1954,7,21,"","","Tate-yama","Honshu-Japan","Japan",36.57,137.6,2621,"Stratovolcano","Historical","D3",NA,"G",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"517",1954,8,3,"","","Bam","New Guinea-NE of","Papua New Guinea",-3.6,144.85,685,"Stratovolcano","Historical","D2",2,"I",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,25,1,NA,NA,NA,2,NA,NA,NA,NA
"518",1954,NA,NA,"","","Camiguin","Mindanao-Philippines","Philippines",9.203,124.673,1332,"Stratovolcano","Historical","D2",NA,"m",2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"519",1955,7,26,"","","Carran-Los Venados","Chile-C","Chile",-40.35,-72.07,1114,"Pyroclastic cone","Historical","D1",4,"G",2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"520",1955,10,13,"","","Sakura-jima","Kyushu-Japan","Japan",31.58,130.67,1117,"Stratovolcano","Historical","D1",3,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"521",1956,3,30,"TSU","","Bezymianny","Kamchatka","Russia",55.978,160.587,2882,"Stratovolcano","Historical","D1",5,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"522",1957,3,11,"","EQ","Vsevidof","Aleutian Is","United States",53.13,-168.68,2149,"Stratovolcano","Historical","D3",2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"523",1957,7,NA,"","","Unzen","Kyushu-Japan","Japan",32.75,130.3,1500,"Complex volcano","Historical","D1",NA,"m",13,1,NA,NA,NA,NA,NA,NA,NA,NA,13,1,NA,NA,NA,NA,NA,NA,NA,NA
"524",1957,8,NA,"","","Oshima","Izu Is-Japan","Japan",34.73,139.38,758,"Stratovolcano","Historical","D1",2,"T",1,1,NA,NA,53,2,NA,NA,NA,NA,1,1,NA,NA,53,2,NA,NA,NA,NA
"525",1957,10,NA,"","","Aso","Kyushu-Japan","Japan",32.88,131.1,1592,"Caldera","Historical","D1",2,"T",12,1,NA,NA,NA,NA,NA,NA,NA,NA,12,1,NA,NA,NA,NA,NA,NA,NA,NA
"526",1958,7,12,"","","Mahawu","Sulawesi-Indonesia","Indonesia",1.358,124.858,1324,"Stratovolcano","Historical","D1",2,"M",1,1,NA,NA,10,1,NA,NA,NA,NA,1,1,NA,NA,10,1,NA,NA,NA,NA
"527",1958,7,21,"","","Daisetsu","Hokkaido-Japan","Japan",43.68,142.88,2290,"Stratovolcano","Tephrochronology","D6",NA,"G",2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"528",1958,10,7,"TSU","","Kuwae","Vanuatu-SW Pacific","Vanuatu",-16.829,168.536,-2,"Caldera","Historical","D1",2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"529",1960,5,25,"TSU","EQ","Puyehue","Chile-C","Chile",-40.59,-72.117,2236,"Stratovolcano","Holocene","U",3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"530",1961,1,25,"","","Calbuco","Chile-S","Chile",-41.326,-72.614,2003,"Stratovolcano","Historical","D2",3,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"531",1961,4,23,"","","Tate-yama","Honshu-Japan","Japan",36.57,137.6,2621,"Stratovolcano","Historical","D3",NA,"G",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"532",1961,5,8,"","","Merapi","Java","Indonesia",-7.542,110.442,2947,"Stratovolcano","Historical","D1",3,"P",6,1,NA,NA,6,1,NA,2,NA,3,6,1,NA,NA,6,1,NA,2,NA,3
"533",1961,6,18,"","","Daisetsu","Hokkaido-Japan","Japan",43.68,142.88,2290,"Stratovolcano","Tephrochronology","D6",NA,"G",2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"534",1961,8,18,"","","Asama","Honshu-Japan","Japan",36.4,138.53,2560,"Complex volcano","Historical","D1",2,"T",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"535",1962,6,29,"","","Tokachi","Hokkaido-Japan","Japan",43.42,142.68,2077,"Stratovolcano","Historical","D1",3,"T",5,1,NA,NA,11,1,NA,NA,NA,NA,5,1,NA,NA,11,1,NA,NA,NA,NA
"536",1962,10,NA,"","","Merapi","Java","Indonesia",-7.542,110.442,2947,"Stratovolcano","Historical","D1",NA,"m",2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"537",1962,12,31,"","","Gamalama","Halmahera-Indonesia","Indonesia",0.8,127.325,1715,"Stratovolcano","Historical","D1",2,"",5,1,NA,NA,5,1,NA,NA,NA,NA,5,1,NA,NA,5,1,NA,NA,NA,NA
"538",1963,3,17,"","","Irazu","Costa Rica","Costa Rica",9.979,-83.852,3432,"Stratovolcano","Historical","D1",3,"T",15,1,NA,NA,NA,NA,NA,NA,NA,NA,15,1,NA,NA,NA,NA,NA,NA,NA,NA
"539",1963,3,18,"TSU","","Agung","Lesser Sunda Is","Indonesia",-8.342,115.508,3142,"Stratovolcano","Historical","D1",5,"P,T,M,A",1028,4,NA,3,624,3,NA,NA,NA,NA,1028,4,NA,3,624,3,NA,NA,NA,NA
"540",1963,5,5,"","","Semeru","Java","Indonesia",-8.108,112.92,3676,"Stratovolcano","Historical","D1",2,"T",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"541",1963,5,16,"","EQ","Agung","Lesser Sunda Is","Indonesia",-8.342,115.508,3142,"Stratovolcano","Historical","D1",3,"",120,2,NA,NA,NA,NA,NA,NA,NA,NA,120,2,NA,NA,NA,NA,NA,NA,NA,NA
"542",1963,5,21,"","","Villarrica","Chile-C","Chile",-39.42,-71.93,2847,"Stratovolcano","Historical","D1",2,"M",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"543",1963,9,5,"","","Batur","Lesser Sunda Is","Indonesia",-8.242,115.375,1717,"Caldera","Historical","D1",2,"",2,1,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,1
"544",1963,9,28,"","","Fuego","Guatemala","Guatemala",14.473,-90.88,3763,"Stratovolcano","Historical","D1",3,"M",7,1,NA,NA,NA,NA,NA,NA,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA
"545",1963,12,10,"","","Irazu","Costa Rica","Costa Rica",9.979,-83.852,3432,"Stratovolcano","Historical","D1",3,"M,T",40,1,NA,NA,NA,1,NA,2,400,3,40,1,NA,NA,NA,1,NA,2,400,3
"546",1964,1,1,"","","Paluweh","Lesser Sunda Is","Indonesia",-8.32,121.708,875,"Stratovolcano","Historical","D1",2,"",1,1,NA,NA,3,1,NA,NA,NA,NA,1,1,NA,NA,3,1,NA,NA,NA,NA
"547",1964,3,3,"","","Villarrica","Chile-C","Chile",-39.42,-71.93,2847,"Stratovolcano","Historical","D1",2,"M",25,1,NA,NA,NA,NA,NA,NA,NA,NA,25,1,NA,NA,NA,NA,NA,NA,NA,NA
"548",1964,12,13,"","","Dieng Volc Complex","Java","Indonesia",-7.2,109.92,2565,"Complex volcano","Historical","D1",1,"",114,3,NA,NA,NA,NA,NA,NA,NA,NA,114,3,NA,NA,NA,NA,NA,NA,NA,NA
"549",1965,9,28,"TSU","","Taal","Luzon-Philippines","Philippines",14.002,120.993,400,"Stratovolcano","Historical","D1",4,"P,W",355,3,NA,NA,NA,NA,NA,1,NA,1,355,3,NA,NA,NA,NA,NA,1,NA,1
"550",1965,10,24,"TSU","","Kick-'em-Jenny","W Indies","Netherlands",12.3,-61.63,-177,"Submarine volcano","Historical","D1",0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"551",1966,1,13,"TSU","","Tinakula","Santa Cruz Is-SW Pac","Solomon Is.",-10.38,165.8,851,"Stratovolcano","Historical","D1",3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"552",1966,4,26,"","","Kelut","Java","Indonesia",-7.93,112.308,1731,"Stratovolcano","Historical","D1",4,"M,m,P",215,3,78,2,86,2,NA,NA,NA,NA,215,3,78,2,86,2,NA,NA,NA,NA
"553",1966,8,12,"","","Awu","Sangihe Is-Indonesia","Indonesia",3.67,125.5,1320,"Stratovolcano","Historical","D1",4,"P,M,I",39,1,NA,NA,1000,3,NA,NA,NA,2,39,1,NA,NA,1000,3,NA,NA,NA,2
"554",1966,8,14,"","","Lengai, Ol Doinyo","Africa-E","Tanzania",-2.751,35.902,2890,"Stratovolcano","Historical","D1",4,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"555",1967,7,8,"","","Lengai, Ol Doinyo","Africa-E","Tanzania",-2.751,35.902,2890,"Stratovolcano","Historical","D1",3,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"556",1967,8,31,"","","Semeru","Java","Indonesia",-8.108,112.92,3676,"Stratovolcano","Historical","D1",3,"M",3,1,NA,NA,NA,NA,NA,1,NA,NA,3,1,NA,NA,NA,NA,NA,1,NA,NA
"557",1967,12,4,"TSU","","Deception Island","Antarctica","Antarctica",-62.97,-60.65,576,"Caldera","Historical","D1",3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"558",1968,4,21,"","","Mayon","Luzon-Philippines","Philippines",13.257,123.685,2462,"Stratovolcano","Historical","D1",3,"M,P",6,1,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA
"559",1968,7,29,"","","Arenal","Costa Rica","Costa Rica",10.463,-84.703,1657,"Stratovolcano","Historical","D1",3,"P,T",80,2,NA,NA,NA,NA,NA,NA,NA,NA,80,2,NA,NA,NA,NA,NA,NA,NA,NA
"560",1969,1,7,"","","Merapi","Java","Indonesia",-7.542,110.442,2947,"Stratovolcano","Historical","D1",2,"P",3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"561",1969,1,28,"","","Iya","Lesser Sunda Is","Indonesia",-8.88,121.63,637,"Stratovolcano","Historical","D1",3,"T,m",2,1,NA,NA,10,1,NA,NA,287,3,2,1,NA,NA,10,1,NA,NA,287,3
"562",1969,3,21,"TSU","","Didicas","Luzon-N of","Philippines",19.077,122.202,244,"Compound volcano","Historical","D1",2,"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"563",1969,8,26,"","","Narugo","Honshu-Japan","Japan",38.73,140.73,462,"Caldera","Historical","D6",NA,"G",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"564",1970,3,2,"","","Campi Flegrei","Italy","Italy",40.827,14.139,458,"Caldera","Historical","D5",NA,"S",3,1,NA,NA,NA,NA,NA,1,NA,1,3,1,NA,NA,NA,NA,NA,1,NA,1
"565",1970,5,5,"","","Hekla","Iceland-S","Iceland",63.98,-19.7,1491,"Stratovolcano","Historical","D1",3,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"566",1971,8,12,"","","Hudson, Cerro","Chile-S","Chile",-45.9,-72.97,1905,"Stratovolcano","Historical","D1",3,"M",5,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"567",1971,9,6,"TSU","","Tinakula","Santa Cruz Is-SW Pac","Solomon Is.",-10.38,165.8,851,"Stratovolcano","Historical","D1",2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"568",1971,9,14,"","","Fuego","Guatemala","Guatemala",14.473,-90.88,3763,"Stratovolcano","Historical","D1",3,"M,T",10,1,NA,NA,NA,NA,NA,NA,NA,NA,10,1,NA,NA,NA,NA,NA,NA,NA,NA
"569",1971,10,26,"","","La Palma","Canary Is","Spain",28.58,-17.83,2426,"Stratovolcano","Historical","D1",2,"",NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"570",1971,10,29,"","","Villarrica","Chile-C","Chile",-39.42,-71.93,2847,"Stratovolcano","Historical","D1",2,"M",15,1,NA,NA,NA,NA,NA,NA,NA,NA,15,1,NA,NA,NA,NA,NA,NA,NA,NA
"571",1971,12,27,"","","Kusatsu-Shirane","Honshu-Japan","Japan",36.62,138.55,2176,"Stratovolcano","Historical","D1",NA,"G",6,1,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA
"572",1972,6,9,"","","Fournaise, Piton de la","Indian O-W","Reunion",-21.229,55.713,2631,"Shield volcano","Historical","D1",2,"I",3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"573",1972,10,2,"","","Hakone","Honshu-Japan","Japan",35.22,139.02,1438,"Complex volcano","Radiocarbon","D7",NA,"",2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"574",1972,10,9,"TSU","","Ritter Island","New Guinea-NE of","Papua New Guinea",-5.52,148.121,140,"Stratovolcano","Historical","D1",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"575",1973,1,27,"","","Vestmannaeyjar","Iceland-S","Iceland",63.43,-20.28,279,"Submarine volcano","Historical","D1",3,"G",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"576",1973,1,NA,"","","Paluweh","Lesser Sunda Is","Indonesia",-8.32,121.708,875,"Stratovolcano","Historical","D1",3,"",NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"577",1973,4,5,"","","Hudson, Cerro","Chile-S","Chile",-45.9,-72.97,1905,"Stratovolcano","Historical","D1",NA,"M",2,1,NA,NA,NA,NA,NA,1,NA,1,2,1,NA,NA,NA,NA,NA,1,NA,1
"578",1973,12,5,"","","Iliwerung","Lesser Sunda Is","Indonesia",-8.54,123.59,1018,"Complex volcano","Historical","D1",2,"W",2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"579",1974,2,11,"","","Karangetang [Api Siau]","Sangihe Is-Indonesia","Indonesia",2.78,125.48,1784,"Stratovolcano","Historical","D1",3,"A",4,1,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA
"580",1974,6,17,"","","Sakura-jima","Kyushu-Japan","Japan",31.58,130.67,1117,"Stratovolcano","Historical","D1",3,"M",3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"581",1974,7,28,"","","Niigata-Yake-yama","Honshu-Japan","Japan",36.92,138.03,2400,"Lava dome","Historical","D1",2,"T",3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"582",1974,8,9,"","","Sakura-jima","Kyushu-Japan","Japan",31.58,130.67,1117,"Stratovolcano","Historical","D1",3,"M",5,1,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA
"583",1974,10,10,"","","Fuego","Guatemala","Guatemala",14.473,-90.88,3763,"Stratovolcano","Historical","D1",4,"T,M",NA,1,NA,NA,NA,NA,NA,2,NA,3,NA,1,NA,NA,NA,NA,NA,2,NA,3
"584",1974,10,17,"TSU","","Ritter Island","New Guinea-NE of","Papua New Guinea",-5.52,148.121,140,"Stratovolcano","Historical","D1",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"585",1974,10,22,"","","Merapi","Java","Indonesia",-7.542,110.442,2947,"Stratovolcano","Historical","D1",2,"M",9,1,NA,NA,NA,NA,NA,NA,6,1,9,1,NA,NA,NA,NA,NA,NA,6,1
"586",1975,1,NA,"","","Marapi","Sumatra","Indonesia",-0.381,100.473,2891,"Complex volcano","Historical","D1",2,"M",80,2,NA,NA,NA,NA,NA,3,NA,3,80,2,NA,NA,NA,NA,NA,3,NA,3
