"","Year","Month","Day","TSU","EQ","Name","Location","Country","Latitude","Longitude","Elevation","Type","Status","Time","VEI","Agent","DEATHS","DEATHS_DESCRIPTION","MISSING","MISSING_DESCRIPTION","INJURIES","INJURIES_DESCRIPTION","DAMAGE_MILLIONS_DOLLARS","DAMAGE_DESCRIPTION","HOUSES_DESTROYED","HOUSES_DESTROYED_DESCRIPTION","TOTAL_DEATHS","TOTAL_DEATHS_DESCRIPTION","TOTAL_MISSING","TOTAL_MISSING_DESCRIPTION","TOTAL_INJURIES","TOTAL_INJURIES_DESCRIPTION","TOTAL_DAMAGE_MILLIONS_DOLLARS","TOTAL_DAMAGE_DESCRIPTION","TOTAL_HOUSES_DESTROYED","TOTAL_HOUSES_DESTROYED_DESCRIPTION"
"398",1912,12,3,"","","Nyamuragira","Africa-C","Congo, DRC",-1.408,29.2,3058,"Shield volcano","Historical","D1",3,"L",20,1,NA,NA,NA,NA,NA,NA,NA,NA,20,1,NA,NA,NA,NA,NA,NA,NA,NA
"399",1913,1,20,"","","Colima","Mexico","Mexico",19.514,-103.62,3850,"Stratovolcano","Historical","D1",4,"P,m",13,1,NA,NA,NA,NA,NA,NA,NA,NA,13,1,NA,NA,NA,NA,NA,NA,NA,NA
"400",1913,3,14,"TSU","EQ","Awu","Sangihe Is-Indonesia","Indonesia",3.67,125.5,1320,"Stratovolcano","Historical","D1",2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138,3,NA,NA,NA,2,NA,2,NA,3
"401",1913,5,29,"","","Asama","Honshu-Japan","Japan",36.4,138.53,2560,"Complex volcano","Historical","D1",1,"T",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"402",1913,6,23,"","","Semeru","Java","Indonesia",-8.108,112.92,3676,"Stratovolcano","Historical","D1",2,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"403",1913,12,6,"","","Ambrym","Vanuatu-SW Pacific","Vanuatu",-16.25,168.12,1334,"Pyroclastic shield","Historical","D1",3,"T",21,1,NA,NA,NA,NA,NA,3,NA,NA,21,1,NA,NA,NA,NA,NA,3,NA,NA
"404",1914,1,12,"TSU","EQ","Sakura-jima","Kyushu-Japan","Japan",31.58,130.67,1117,"Stratovolcano","Historical","D1",4,"I,S,A,T",28,1,NA,NA,NA,3,0.04,1,2148,4,63,2,NA,NA,112,3,19,3,2268,4
"405",1914,1,18,"","","Pago","New Britain-SW Pac","Papua New Guinea",-5.58,150.52,742,"Caldera","Historical","D2",3,"I",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"406",1914,9,10,"","","White Island","New Zealand","New Zealand",-37.52,177.18,321,"Stratovolcano","Historical","D1",NA,"A",11,1,NA,NA,NA,NA,NA,NA,NA,NA,11,1,NA,NA,NA,NA,NA,NA,NA,NA
"407",1914,NA,NA,"","","Aoba","Vanuatu-SW Pacific","Vanuatu",-15.4,167.83,1496,"Shield volcano","Historical","D1",NA,"L",100,2,NA,NA,NA,NA,NA,NA,NA,NA,100,2,NA,NA,NA,NA,NA,NA,NA,NA
"408",1916,3,3,"","","Tungurahua","Ecuador","Ecuador",-1.467,-78.442,5023,"Stratovolcano","Historical","D1",4,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"409",1916,7,3,"TSU","","Stromboli","Italy","Italy",38.789,15.213,926,"Stratovolcano","Historical","D1",3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"410",1917,1,1,"","","Lengai, Ol Doinyo","Africa-E","Tanzania",-2.751,35.902,2890,"Stratovolcano","Historical","D1",3,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"411",1917,4,1,"","","Okataina","New Zealand","New Zealand",-38.12,176.5,1111,"Lava dome","Historical","D1",1,"T",2,1,NA,NA,3,1,NA,NA,NA,NA,2,1,NA,NA,3,1,NA,NA,NA,NA
"412",1917,4,NA,"","","Calbuco","Chile-S","Chile",-41.326,-72.614,2003,"Stratovolcano","Historical","D2",3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413",1917,6,7,"","EQ","San Salvador","El Salvador","El Salvador",13.736,-89.286,1893,"Stratovolcano","Historical","D2",3,"S,L",325,3,NA,NA,NA,NA,NA,NA,NA,NA,325,3,NA,NA,NA,NA,NA,NA,NA,NA
"414",1918,7,18,"TSU","","Banua Wuhu","Sangihe Is-Indonesia","Indonesia",3.138,125.491,-5,"Submarine volcano","Historical","D2",3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415",1918,10,12,"","","Katla","Iceland-S","Iceland",63.63,-19.05,1512,"Subglacial volcano","Historical","D2",4,"",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"416",1919,2,19,"","","Popocatepetl","Mexico","Mexico",19.023,-98.622,5426,"Stratovolcano","Historical","D1",1,"A",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"417",1919,4,3,"TSU","","Banua Wuhu","Sangihe Is-Indonesia","Indonesia",3.138,125.491,-5,"Submarine volcano","Historical","D2",NA,"",NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"418",1919,5,19,"","","Kelut","Java","Indonesia",-7.93,112.308,1731,"Stratovolcano","Historical","D1",4,"M",5110,4,NA,NA,NA,NA,NA,NA,9000,4,5110,4,NA,NA,NA,NA,NA,NA,9000,4
"419",1919,5,22,"TSU","","Stromboli","Italy","Italy",38.789,15.213,926,"Stratovolcano","Historical","D1",3,"T",4,1,NA,NA,NA,3,NA,1,10,1,4,1,NA,NA,NA,3,NA,1,10,1
"420",1919,7,6,"","","Nasu","Honshu-Japan","Japan",37.12,139.97,1917,"Stratovolcano","Historical","D2",NA,"G",2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"421",1919,9,29,"TSU","","Mauna Loa","Hawaiian Is","United States",19.475,-155.608,4170,"Shield volcano","Historical","D1",0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"422",1920,7,25,"","","Merapi","Java","Indonesia",-7.542,110.442,2947,"Stratovolcano","Historical","D1",3,"P",33,1,NA,NA,NA,NA,NA,NA,NA,NA,33,1,NA,NA,NA,NA,NA,NA,NA,NA
"423",1920,10,29,"","","Izalco","El Salvador","El Salvador",13.813,-89.633,1950,"Stratovolcano","Historical","D1",3,"P",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"424",1921,11,26,"","","Nasu","Honshu-Japan","Japan",37.12,139.97,1917,"Stratovolcano","Historical","D2",NA,"G",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"425",1923,3,2,"TSU","EQ","Cendres, Ile des","SE Asia","Vietnam",10.158,109.014,-20,"Submarine volcanoes","Historical","D2",2,"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"426",1923,3,11,"","","Papandayan","Java","Indonesia",-7.32,107.73,2665,"Stratovolcano","Historical","D2",1,"G",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"427",1923,6,NA,"","","Tangkubanparahu","Java","Indonesia",-6.77,107.6,2084,"Stratovolcano","Historical","D1",NA,"G",3,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"428",1923,7,1,"","","Kirishima","Kyushu-Japan","Japan",31.93,130.87,1700,"Shield volcano","Historical","D1",2,"",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"429",1924,5,10,"","","Kilauea","Hawaiian Is","United States",19.425,-155.292,1222,"Shield volcano","Historical","D1",2,"T",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"430",1926,5,24,"","","Tokachi","Hokkaido-Japan","Japan",43.42,142.68,2077,"Stratovolcano","Historical","D1",3,"M,T",144,3,NA,NA,207,3,NA,NA,5080,4,144,3,NA,NA,207,3,NA,NA,5080,4
"431",1927,8,7,"TSU","","Paluweh","Lesser Sunda Is","Indonesia",-8.32,121.708,875,"Stratovolcano","Historical","D1",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"432",1927,9,5,"","","Esjufjoll","Iceland-SE","Iceland",64.27,-16.65,1760,"Stratovolcano","Historical","D2",1,"M",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"433",1928,1,23,"","","Santorini","Greece","Greece",36.404,25.396,329,"Shield volcano","Historical","D2",2,"S",48,1,NA,NA,NA,NA,NA,NA,NA,NA,48,1,NA,NA,NA,NA,NA,NA,NA,NA
"434",1928,1,NA,"","","Mayon","Luzon-Philippines","Philippines",13.257,123.685,2462,"Stratovolcano","Historical","D1",3,"P",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"435",1928,3,28,"TSU","","Krakatau","Indonesia","Indonesia",-6.102,105.423,813,"Caldera","Historical","D1",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"436",1928,5,13,"","","Dieng Volc Complex","Java","Indonesia",-7.2,109.92,2565,"Complex volcano","Historical","D1",2,"T",40,1,NA,NA,NA,NA,NA,NA,NA,NA,40,1,NA,NA,NA,NA,NA,NA,NA,NA
"437",1928,8,4,"TSU","","Paluweh","Lesser Sunda Is","Indonesia",-8.32,121.708,875,"Stratovolcano","Historical","D1",3,"W,T",98,2,NA,NA,NA,NA,NA,NA,NA,NA,226,3,NA,NA,200,3,NA,NA,NA,2
