"STATION","NAME","DATE","PRCP","TMAX","TMIN","WSF5"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-02-28","0.01","61","36","10.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-03-01","0.00","62","41","17.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-03-02","0.17","57","47","23.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-03-03","0.80","55","43","25.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-03-04","0.00","56","37","14.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-03-05","0.00","56","37","12.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-03-06","0.00","64","44","16.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-03-07","0.01","66","38","23.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-03-08","0.00","59","39","31.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-03-09","0.04","55","36","18.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-03-10","0.01","57","37","23.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-03-11","0.00","60","34","15.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-03-12","0.30","54","41","31.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-03-13","0.00","57","31","25.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-03-14","0.00","64","37","23.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-03-15","0.00","68","38","10.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-03-16","0.00","73","43","8.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-03-17","0.00","75","50","10.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-03-18","0.00","75","43","36.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-03-19","0.00","76","41","18.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-03-20","0.00","69","43","16.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-03-21","0.00","70","46","17.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-03-22","0.00","69","44","23.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-03-23","0.00","74","47","25.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-03-24","0.03","68","47","31.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-03-25","0.00","62","45","25.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-03-26","0.00","64","36","12.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-03-27","0.00","68","41","14.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-03-28","0.00","72","46","21.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-03-29","0.01","64","50","38.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-03-30","0.01","61","45","36.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-03-31","0.12","57","42","28.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-04-01","0.00","60","40","17.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-04-02","0.07","53","41","38.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-04-03","0.00","59","38","14.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-04-04","0.59","55","42","35.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-04-05","0.11","58","37","19.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-04-06","0.00","64","34","21.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-04-07","0.00","70","39","16.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-04-08","0.00","72","45","25.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-04-09","0.00","74","46","28.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-04-10","0.00","62","49","33.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-04-11","0.75","57","47","38.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-04-12","0.64","56","47","36.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-04-13","0.00","62","47","15.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-04-14","0.01","64","44","23.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-04-15","0.00","69","42","17.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-04-16","0.00","71","49","17.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-04-17","0.00","72","47","12.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-04-18","0.00","78","43","15.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-04-19","0.00","72","49","23.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-04-20","0.36","59","43","28.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-04-21","0.12","55","41","25.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-04-22","0.00","66","45","17.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-04-23","0.00","72","42","17.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-04-24","0.00","78","49","13.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-04-25","0.00","83","50","25.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-04-26","0.00","76","51","23.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-04-27","0.12","66","47","44.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-04-28","0.03","60","39","29.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-04-29","0.00","66","34","25.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-04-30","0.00","72","46","33.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-05-01","0.00","80","44","21.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-05-02","0.00","81","50","36.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-05-03","0.00","84","45","23.9"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-05-04","0.00","79","48","29.1"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-05-05","0.00","72","44","28.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-05-06","0.00","75","49","32.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-05-07","0.00","78","38","21.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-05-08","0.00","75","49","23.0"
"USW00093225","SACRAMENTO METROPOLITAN AIRPORT, CA US","2010-05-09","0.04","65","47","18.1"
